,Tm,ages,W/L%,playoffs,seed,games
0,ATL,26.462,0.646,1,3,82.000
1,BOS,29.442,0.610,1,4,82.000
2,CHA,27.401,0.537,1,7,82.000
3,CHI,26.152,0.500,1,8,82.000
4,CLE,28.049,0.744,1,1,82.000
5,DAL,30.679,0.671,1,2,82.000
6,DEN,27.669,0.646,1,4,82.000
7,DET,26.739,0.329,0,13,82.000
8,GSW,25.100,0.317,0,13,82.000
9,HOU,25.959,0.512,0,9,82.000
10,IND,26.589,0.390,0,10,82.000
11,LAC,27.293,0.354,0,12,82.000
12,LAL,28.426,0.695,1,1,82.000
13,MEM,24.085,0.488,0,10,82.000
14,MIA,27.061,0.573,1,5,82.000
15,MIL,26.395,0.561,1,6,82.000
16,MIN,24.095,0.183,0,15,82.000
17,NJN,24.788,0.146,0,15,82.000
18,NOH,27.501,0.451,0,11,82.000
19,NYK,25.409,0.354,0,11,82.000
20,OKC,23.192,0.610,1,7,82.000
21,ORL,27.943,0.720,1,2,82.000
22,PHI,25.438,0.329,0,12,82.000
23,PHO,28.498,0.659,1,3,82.000
24,POR,26.608,0.610,1,6,82.000
25,SAC,24.101,0.305,0,14,82.000
26,SAS,28.741,0.610,1,8,82.000
27,TOR,25.196,0.488,0,9,82.000
28,UTA,25.593,0.646,1,5,82.000
29,WAS,27.594,0.317,0,14,82.000
