Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Northwest Division
Portland Trail Blazers* (4),51,31,.622,—,102.8,98.6,4.41
Oklahoma City Thunder (9),45,37,.549,6.0,104.0,101.8,2.47
Utah Jazz (11),38,44,.463,13.0,95.1,94.9,0.71
Denver Nuggets (12),30,52,.366,21.0,101.5,105.0,-3.07
Minnesota Timberwolves (15),16,66,.195,35.0,97.8,106.5,-8.00
Pacific Division
Golden State Warriors* (1),67,15,.817,—,110.0,99.9,10.01
Los Angeles Clippers* (2),56,26,.683,11.0,106.7,100.1,6.80
Phoenix Suns (10),39,43,.476,28.0,102.4,103.3,-0.38
Sacramento Kings (13),29,53,.354,38.0,101.3,105.0,-3.07
Los Angeles Lakers (14),21,61,.256,46.0,98.5,105.3,-6.17
Southwest Division
Houston Rockets* (2),56,26,.683,—,103.9,100.5,3.82
San Antonio Spurs* (5),55,27,.671,1.0,103.2,97.0,6.34
Memphis Grizzlies* (5),55,27,.671,1.0,98.3,95.1,3.62
Dallas Mavericks* (7),50,32,.610,6.0,105.2,102.3,3.36
New Orleans Pelicans* (8),45,37,.549,11.0,99.4,98.6,1.13
